ID,S_Value,Visibility,Phase_Jitter,BitFlip,Noise
1,2.828427125,0.964076118,10.78788467,0.012865467,0.029834458
2,2.828427125,0.999436324,0.22439407,0.00037335,0.008185727
3,2.828427125,0.997257455,0.326033792,0.001602425,0.008041548
4,2.828427125,0.989916068,0.382637732,0.000375292,0.047031719
5,2.828427125,0.851446182,19.38575257,0.031035316,0.023160916
6,2.828427125,0.969792945,2.667695908,0.004389008,0.046285503
7,2.828427125,0.995855172,5.722217488,0.002726664,0.023429773
,,,,,
,,,,,
10,2.828427125,0.866467957,12.41936912,0.020777082,0.1
11,2.828427125,0.944115333,19.50919043,0.003827558,0.017760365
12,2.828427125,0.957666806,11.07141012,0.004965985,0.028741661
13,2.828427125,0.941774284,11.07151371,0.002094963,0.008055609
14,2.828427125,0.935409301,15.69601181,0.011437293,0.041521545
15,2.828427125,0.997600731,12.02757294,0.022589618,0.000781457
16,2.828427125,0.999476233,7.013621164,0.004685821,0.034599438
17,2.828427125,0.962832861,7.0316013,0.006930378,0.019682016
18,2.828427125,0.978307911,3.304511673,0.0105894,0.049294592
19,2.828427125,0.996209802,10.1752343,0.007980417,0.00344568
20,2.828427125,0.9692407,0.222213058,0.000763287,0.039746035
21,2.828427125,0.973658337,2.091928591,0.000602284,0.003109933
22,2.828427125,0.98048197,0.298060759,0.000471081,0.020851381
23,2.828427125,0.999296434,1.365473302,0.000997723,0.014529089
24,2.828427125,0.997569174,2.998180602,0.013476832,0.030953052
25,2.828427125,0.979062738,1.055990998,0.003052446,0.043341631
26,2.828427125,0.975700481,5.208678816,0.000293325,0.009592525
27,2.828427125,0.932901299,22.40038654,0.006051091,0.02754147
28,2.828427125,0.995862482,4.099595788,0.003733682,0.02415905
29,2.828427125,0.996712325,0.943773906,0.000172211,0.025098778
30,2.828427125,0.990487558,0.872334979,0.006814577,0.037959094
31,2.828427125,0.997153389,2.202678362,0.002223334,0.042689994
32,2.828427125,0.975251206,22.00938956,0.010739392,0.030697302
33,2.828427125,0.996775234,0.334576,0.000691041,0.014087526
34,2.828427125,0.955412356,6.266437941,0.010190963,0.005081528
,,,,,
36,2.828427125,0.953470832,2.598857411,0.000454133,0.027199516
37,2.828427125,0.974809961,2.004615498,0.000708712,0.000857437
38,2.828427125,0.793207913,16.41002982,0.016334967,0.013526997
39,2.828427125,0.986319388,1.004095254,0.00360824,0.00102325
40,2.828427125,0.977067857,1.932820722,0.000238102,0.00377419
41,2.828427125,0.988287927,4.524150709,0.002576178,0.018054671
42,2.828427125,0.980009756,2.419820723,0.002842509,0.022660118
43,2.828427125,0.981861578,0.687753187,0.003076848,0.033238918
44,2.828427125,0.974449569,19.25875114,0.035925892,0.015978884
45,2.828427124,0.983624047,1.536152467,0.004525029,0.020020846
46,2.828427124,0.980802351,0.42861373,0.000401826,0.1
47,2.828427124,0.992509922,0.70315551,0.00046483,0.040303859
48,2.828427124,0.972582037,9.594557089,0.03092387,0.013808211
49,2.828427124,0.892629004,7.685441596,0,0.040542566
50,2.828427124,0.988492492,0.325306836,0.001111961,0.1
51,2.828427124,0.939535307,11.03218603,0.00132226,0.043656654
52,2.828427124,0.923350867,23.42006578,0.045651405,0.020450691
53,2.828427124,0.960874757,0.129693521,0.000998125,0.1
54,2.828427124,0.955619741,6.315627118,0.005928064,0.032850296
55,2.828427124,0.986091964,1.982035164,0.000907412,0.047360187
56,2.828427124,0.980823785,11.03740067,0.014189168,0.1
57,2.828427124,0.968926715,6.670877907,0.002989678,0.01005666
58,2.828427124,0.920897086,26.31535023,0.01375593,0.023667098
59,2.828427124,0.994290589,0.412815948,0.001303521,0.016022073
60,2.828427124,0.970307641,0.235289848,0.007621016,0.1
61,2.828427124,0.99470926,0.831582319,0.000663644,0.024337445
62,2.828427124,0.994818465,0.423899342,0.001726743,0.044297363
63,2.828427124,0.95325848,3.956142137,0.012468126,0.011558523
64,2.828427124,0.902220872,6.415356816,0.00162783,0.034712024
65,2.828427124,0.983930475,0.535169317,0.001374869,0.020980907
66,2.828427124,0.998589383,0.875319131,9.99459291387131e-05,0.03000321
67,2.828427124,0.99216121,1.436725942,0.003361581,0.012152909
68,2.828427124,0.992916057,0.704922973,0.003040101,0.035349651
69,2.828427124,0.965611548,5.522534422,0.003719994,0.041653442
70,2.828427124,0.943376631,21.85669386,0.020422458,0
71,2.828427124,0.994820757,0.716878065,0.002007542,0.014680703
72,2.828427124,0.994641535,0.501553785,0.001600106,0.013469711
73,2.828427124,0.973319935,9.188762076,0.022117093,0.04024593
74,2.828427124,0.999017476,1.417282004,0.017300159,0.1
75,2.828427124,0.929921944,14.12753415,0.005677763,0.044282131
76,2.828427124,0.998917979,0.741872402,0.001791458,0.037343245
77,2.828427124,0.993243162,0.431566836,0.000439449,0.014355951
78,2.828427124,0.989372939,4.064623883,0.00028153,0.041910528
79,2.828427124,0.901117925,7.952975477,0.010103649,0.038816314
80,2.828427124,0.893877756,8.204437394,0.01107195,0.040927917
81,2.828427124,0.997415573,0.922943118,0,0.01594747
82,2.828427124,0.994504052,13.02622069,0.015708978,0.1
83,2.828427124,0.998139488,8.877879851,0.022235462,0.048295621
84,2.828427124,0.961318087,2.406821174,0.001354301,0.03684359
85,2.828427124,0.964585627,11.31237167,0.031793239,0.02437703
86,2.828427124,0.920123872,11.16728958,0.00323605,0.0463791
87,2.828427124,0.967415674,0.267894816,0.00141531,0.045408947
88,2.828427124,1,23.93344675,0.017458216,0.021311375
89,2.828427124,0.974747039,0.737966263,0.000962804,0.019637189
