Iteration,Visibility,Phase_Jitter,BitFlip,Noise,S_Value,is_Quantum_Advantage,is_Elite
1,0.995864568,29.2217359,0.021144702,0.014719156,2.828215515,1,1
2,0.994155688,25.4670019,0.046609706,0.021832196,2.828229563,1,1
3,1,30.88570478,0.059802064,0,2.828180732,1,1
4,1,18.64508205,0.047656525,0,2.828413886,1,1
5,1,4.479009009,0,0,2.828155078,1,1
6,1,0,0,0,2.828414827,1,1
7,1,0,0,0,2.828379866,1,1
8,1,1.299520339,0,0,2.828420983,1,1
9,1,0,0,0,2.828423119,1,1
10,1,2.533950425,0.000539614,0.068498426,2.82842236,1,1
11,1,0,0,0.02398393,2.828389114,1,1
12,1,4.102860676,0.016045329,0.084838977,2.828426017,1,1
13,1,0,0,0.080354953,2.828402854,1,1
14,1,2.580906608,0.013497704,0.1,2.828390269,1,1
15,0.93797629,0,0,0.097163429,2.828331524,1,1
16,0.949302592,0,0,0.062195828,2.828420473,1,1
17,1,5.158300686,0,0.046970626,2.828400363,1,1
18,1,14.65716822,0,0,2.828401279,1,1
19,1,1.319784353,0,0.075954687,2.828398678,1,1
20,1,0.62193673,0.003541496,0.028841928,2.828419328,1,1
21,0.880847617,0,0,0.082569004,2.828412347,1,1
22,1,0,0.010454651,0.1,2.828412475,1,1
23,1,6.062945185,0.025990406,0.1,2.828303639,1,1
24,1,0,0,0.010418662,2.828337447,1,1
25,1,0,0,0,2.828415521,1,1
26,1,0.491307553,0,0.035119579,2.828404933,1,1
27,1,0,0,0.026251879,2.828416846,1,1
28,1,0,0,0.001922738,2.828421803,1,1
29,1,0,0,0,2.828424681,1,1
30,0.949862039,5.027313809,0,0,2.828396018,1,1
31,1,0,0,0,2.828377118,1,1
32,1,0,0,0,2.828405467,1,1
33,1,0,0,0,2.828409374,1,1
34,1,0,0.00087131,0.038395403,2.828404302,1,1
35,1,13.63078413,0.042676925,0,2.828408854,1,1
36,1,0,0,0,2.828388762,1,1
37,1,0,0,0,2.828396055,1,1
38,1,0,0,0,2.828394331,1,1
39,1,0,0,0,2.828417264,1,1
40,1,0,0,0,2.82841065,1,1
41,1,0,0,0,2.828412723,1,1
42,1,0.497332051,0,0,2.828409047,1,1
43,1,0,0,0,2.828401855,1,1
44,1,0,0,0,2.828423658,1,1
45,1,0,0,0.047283334,2.828408385,1,1
46,1,0,0,0.003104267,2.828405749,1,1
47,1,0,0,0.051736205,2.828422215,1,1
48,1,0,0,0.025849492,2.828404744,1,1
49,1,2.066215122,0,0.022994743,2.82841451,1,1
50,1,8.534431236,0,0.039708708,2.828424622,1,1
51,1,0.034118749,0,0.036008194,2.828330356,1,1
52,1,0,0,0,2.828390772,1,1
53,1,0.222784727,0,0.032117107,2.828424404,1,1
54,1,3.282852649,0,0.001028314,2.828423089,1,1
55,1,0,0,0.040600796,2.828416227,1,1
56,1,0,0,0,2.828418156,1,1
57,1,0,0,0,2.82842654,1,1
58,1,0,0,0,2.828426418,1,1
59,1,5.587526347,0.009317419,0,2.828427011,1,1
60,0.984760808,25.84184973,0.044082448,0.025128549,2.828424944,1,1
61,1,24.83058849,0.058944115,0,2.828426029,1,1
62,1,26.54101741,0,0,2.828426457,1,1
63,1,26.33990967,0,0,2.828422984,1,1
64,0.938494496,25.71811468,0,0.081895279,2.828426333,1,1
65,0.974898179,25.31437033,0.041619284,0.1,2.828426382,1,1
66,0.859579506,16.17393892,0,0.1,2.828426767,1,1
67,1,17.46750903,0,0.08194269,2.828422864,1,1
68,1,13.69037936,0,0.1,2.828423606,1,1
69,1,3.702411516,0.036193404,0.1,2.828426875,1,1
70,0.999627116,0,0,0,2.828426169,1,1
71,1,0,0,0,2.828426883,1,1
72,1,0,0,0,2.828426488,1,1
73,1,12.61961952,0,0.025997199,2.828426315,1,1
74,1,1.247509852,0.008394146,0.003341071,2.828424738,1,1
75,1,0,0,0,2.828426596,1,1
76,1,0,0,0,2.828426927,1,1
77,1,0,0,0,2.828426846,1,1
78,1,0,0,0,2.828427117,1,1
79,1,0,0,0,2.828427045,1,1
80,1,0,0,0,2.828426881,1,1
81,1,0,0,0,2.828427082,1,1
82,1,0,0.004418667,0.026072638,2.828426989,1,1
83,0.997952464,0,0,0,2.828426842,1,1
84,1,0,0,0,2.828427081,1,1
85,1,0,0,0,2.828426495,1,1
86,1,4.21584327,0.015139026,0,2.828426758,1,1
87,1,0,0,0.1,2.828422162,1,1
88,0.950370909,0,0.023415065,0.1,2.828426454,1,1
89,1,4.232446131,0,0.1,2.828425019,1,1
90,1,4.623823149,0,0.1,2.828427029,1,1
91,0.98663097,15.24083144,0.048950098,0.1,2.828425601,1,1
92,1,8.021471446,0,0.1,2.828425019,1,1
93,1,0,0,0.1,2.828424725,1,1
94,1,0,0.015997384,0.1,2.828426816,1,1
95,1,0.218876431,0.00892043,0.1,2.828422966,1,1
96,0.93740021,0,0,0.1,2.828425546,1,1
97,0.917306321,1.420074276,0,0.1,2.828426775,1,1
98,1,0,0,0.1,2.828425399,1,1
99,1,0.161472332,0,0.1,2.828425475,1,1
100,0.989565782,34.47866672,0.031794655,0.1,2.828426703,1,1
